veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
139,Chrysler/Fiat,Dodge,Avenger,9,MIDSIZE CARS,C,G,46.73625,20304,30.55961115,134681,31.70,926.0136033,,,,,,,,,,,,,,,,,
140,Chrysler/Fiat,Dodge,Caliber,9,MIDSIZE CARS,C,G,43.06430556,15489,32.22157732,87962,32.33,1466.938619,,,,,,,,,,,,,,,,,
141,Chrysler/Fiat,Dodge,Challenger,4,MIDSIZE CARS,C,G,50.79027778,38755,19.2963,6411,24.16,-9730.681383,,,,,,,,,,,,,,,,,
142,Chrysler/Fiat,Dodge,Charger,5,LARGE CARS,C,G,52.54166667,27480,25.49965075,107632,25.78,-1646.31534,,,,,,,,,,,,,,,,,
143,Chrysler/Fiat,Dodge,Charger AWD,5,LARGE CARS,C,G,52.54166667,30931,23.0722158,3263,24.09,-288.0778577,,,,,,,,,,,,,,,,,
144,Chrysler/Fiat,Dodge,Dakota Pickup 2WD,18,STANDARD PICKUP TRUCKS,T,G,57.30697917,27684,20.80624387,14052,20.62,-4053.681213,,,,,,,,,,,,,,,,,
145,Chrysler/Fiat,Dodge,Dakota Pickup 4WD,18,STANDARD PICKUP TRUCKS,T,G,57.30697917,28805,20.09525751,7724,20.89,-924.8003962,,,,,,,,,,,,,,,,,
146,Chrysler/Fiat,Dodge,Grand Caravan 2WD,15,MINIVAN,T,G,54.62416667,25809,24.50123192,148223,24.47,-649.1675651,,,,,,,,,,,,,,,,,
147,Chrysler/Fiat,Dodge,Nitro 2WD,12,SUV,C,G,46.08888889,24069,23.49502281,18303,23.21,-2044.165652,,,,,,,,,,,,,,,,,
148,Chrysler/Fiat,Dodge,Nitro 4WD,12,SUV,T,G,46.08888889,25794,22.11922586,30074,21.90,-1896.171988,,,,,,,,,,,,,,,,,
149,Chrysler/Fiat,Dodge,Ram 1500 Pickup 2WD 120WB,18,STANDARD PICKUP TRUCKS,T,G,56.8609375,23938,20.03196386,33676.61,20.49,3292.301751,,,,,,,,,,,,,,,,,
150,Chrysler/Fiat,Dodge,Ram 1500 Pickup 2WD 140WB,18,STANDARD PICKUP TRUCKS,T,G,66.2984375,26144,18.6770281,66871.51,19.81,2366.162473,,,,,,,,,,,,,,,,,
151,Chrysler/Fiat,Dodge,Ram 1500 Pickup 4WD 120WB,18,STANDARD PICKUP TRUCKS,T,G,56.8609375,30421,18.35500268,9584.29,19.48,-5356.419753,,,,,,,,,,,,,,,,,
152,Chrysler/Fiat,Dodge,Ram 1500 Pickup 4WD 140WB,18,STANDARD PICKUP TRUCKS,T,G,66.2984375,30653,18.42213583,69417.53,19.59,1432.13301,,,,,,,,,,,,,,,,,
153,Chrysler/Fiat,Dodge,Viper Convertible,19,TWO SEATERS,C,G,42.02430556,85675,19.898,587,19.90,4580.1,,,,,,,,,,,,,,,,,
154,Chrysler/Fiat,Dodge,Viper Coupe,19,TWO SEATERS,C,G,42.02430556,86440,19.898,795,19.90,4565.1,,,,,,,,,,,,,,,,,
155,Lotus,Elise,Elise / Exige,2,SUBCOMPACT CARS,C,G,36.69209697,56927,29.66311823,252,29.78,-4455.124182,,,,,,,,,,,,,,,,,
156,Ferrari,Ferrari,599 GTB Fiorano,19,LARGE CARS,C,G,49.05104167,318550,15.70182877,324,15.69,1767.354216,,,,,,,,,,,,,,,,,
157,Ferrari,Ferrari,612 Scaglietti,19,MIDSIZE CARS,C,G,52.8496875,275902,14.58656086,94,14.59,37185.70426,,,,,,,,,,,,,,,,,
158,Ford,Ford,Crown Victoria,5,LARGE CARS,C,G,51.4328655,28200,22.7961,9299,24.52,2085.06,,,,,,,,,,,,,,,,,
159,Ford,Ford,Edge AWD,12,SUV,T,G,50.59416667,28930,22.9313,50229,24.60,3139.74,,,,,,,,,,,,,,,,,
160,Ford,Ford,Edge FWD,12,SUV,C,G,50.59416667,30715,24.1996,78378,25.91,-295.26,,,,,,,,,,,,,,,,,
161,Ford,Ford,Escape 4WD,14,SUV,T,G,43.46583333,25450,25.44398337,98462,27.08,345.0688519,,,,,,,,,,,,,,,,,
162,Ford,Ford,Escape FWD,14,SUV,C,G,43.46583333,23104,27.45449314,121578,29.65,940.7173864,,,,,,,,,,,,,,,,,
163,Ford,Ford,Escape Hybrid 4WD,14,SUV,T,G,43.46583333,29254,38.0277,12441,39.27,2356.4,,,,,,,,,,,,,,,,,
